name;datetime;tempmax;tempmin;temp;feelslikemax;feelslikemin;feelslike;dew;humidity;precip;precipprob;precipcover;preciptype;snow;snowdepth;windgust;windspeed;winddir;sealevelpressure;cloudcover;visibility;solarradiation;solarenergy;uvindex;severerisk;sunrise;sunset;moonphase;conditions;description;icon;stations
Teusaquillo, Bogotá, D.C., Colombia;2022-01-28;21.2;9.2;14.6;21.2;8.3;14.5;9.7;75.3;4;100;45.83;rain;0;0;16.6;31.2;272.2;1025.5;54.3;10.1;272.7;23.8;9;30;2022-01-28T06:11:51;2022-01-28T18:06:47;0.91;Rain, Partially cloudy;Partly cloudy throughout the day with a chance of rain throughout the day.;rain;80222099999,80222399999,SKBO,80234099999,SKVV
Teusaquillo, Bogotá, D.C., Colombia;2022-01-29;20.3;6;13.4;20.3;6;13.3;8.1;74;0.4;100;12.5;rain;0;0;15.1;25.5;260.3;1025.1;49.3;11.7;318.2;27.8;10;10;2022-01-29T06:11:56;2022-01-29T18:07:04;0.95;Rain, Partially cloudy;Partly cloudy throughout the day with rain.;rain;80222099999,80222399999,SKBO,80234099999,SKVV
